file,name,start_line,end_line
src/composing/analysis/chord/analysisutils.h,endsWith,38,43
src/composing/analysis/chord/analysisutils.h,ionianTonicPcFromFifths,46,66
src/composing/analysis/chord/analysisutils.h,normalizePc,69,73
src/composing/analysis/chord/analysisutils.h,pcInMask,77,80
src/composing/analysis/chord/analysisutils.h,diatonicMaskFromFifths,87,94
src/composing/analysis/chord/analysisutils.h,collectionMask,103,118
src/composing/analysis/chord/chordanalyzer.cpp,categorizeExtraNote,197,244
src/composing/analysis/chord/chordanalyzer.cpp,detectExtensions,268,381
src/composing/analysis/chord/chordanalyzer.cpp,extensionBits,386,406
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,429,439
src/composing/analysis/chord/chordanalyzer.cpp,scoreTemplateTones,448,461
src/composing/analysis/chord/chordanalyzer.cpp,scoreExtraNotes,471,542
src/composing/analysis/chord/chordanalyzer.cpp,dim7CharacteristicBonus,547,580
src/composing/analysis/chord/chordanalyzer.cpp,countTpcMatches,592,611
src/composing/analysis/chord/chordanalyzer.cpp,nonBassAdjustment,627,649
src/composing/analysis/chord/chordanalyzer.cpp,structuralPenalties,655,738
src/composing/analysis/chord/chordanalyzer.cpp,tpcConsistencyBonus,743,749
src/composing/analysis/chord/chordanalyzer.cpp,bassRootBonusMultiplier,751,800
src/composing/analysis/chord/chordanalyzer.cpp,templateHasMatchingThird,802,811
src/composing/analysis/chord/chordanalyzer.cpp,templateHasMatchingFifth,813,822
src/composing/analysis/chord/chordanalyzer.cpp,qualifiesForCompleteTriadInversionBonus,824,848
src/composing/analysis/chord/chordanalyzer.cpp,supportsContextualInversionBonuses,850,865
src/composing/analysis/chord/chordanalyzer.cpp,appliedBassRootBonus,867,878
src/composing/analysis/chord/chordanalyzer.cpp,diatonicRootContribution,896,907
src/composing/analysis/chord/chordanalyzer.cpp,buildChordResult,911,1038
src/composing/analysis/chord/chordanalyzer.cpp,deriveChordExtensions,1040,1058
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1306,1306
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1307,1307
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1308,1308
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1309,1309
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1310,1310
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1311,1311
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1312,1312
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1313,1313
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1314,1314
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1315,1315
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1316,1316
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1317,1317
src/composing/analysis/chord/chordanalyzer.cpp,templateIntervalsVec,1318,1318
