cluster_id,size,disposition,rule,decisions,categories,unit_kinds,files
DC-00001,230,no-spec-home,BR-4,D-109,open_items,blockquote,open_items/OI-1.md;open_items/OI-10.md;open_items/OI-100.md;open_items/OI-101.md;open_items/OI-102.md
DC-00002,74,not-a-decision,BR-14,,governing;open_items,heading;paragraph,OPEN_ITEMS.md;open_items/OI-10.md;open_items/OI-101.md;open_items/OI-102.md;open_items/OI-103.md
DC-00003,50,boilerplate,BR-1,,cc_reports,heading,cc_foundations_verification_report.md;cc_instruction_a8_metric_rebaseline_measure.md;cc_instruction_c1_reliability_instrumentation.md;cc_instruction_cadence_key_investigation.md;cc_instruction_cadence_precision_investigation.md
DC-00004,27,boilerplate,BR-1,,cc_reports,heading,cc_instruction_anchor_design_investigation.md;cc_instruction_b_dominant_subdominant_guard_scoping.md;cc_instruction_backup_batch2.md;cc_instruction_backup_cowork_docs.md;cc_instruction_bridge_anchor_investigation.md
DC-00005,21,boilerplate,BR-1,,cc_reports,heading,cc_instruction_doctruth_gate_sync.md;cc_instruction_j_key_i.md;cc_instruction_j_key_ii.md;cc_instruction_j_key_ii_redux.md;cc_instruction_layer1_implementation.md
DC-00006,17,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_batch_analyze_unification_audit.md;cc_instruction_clang_branch_coverage.md;cc_instruction_doctruth_gate_sync.md;cc_instruction_l1l3_delta_check_resync.md;cc_instruction_l1l3_spec_sync.md
DC-00007,16,boilerplate,BR-1,,cc_reports,heading,cc_instruction_b2_subdominant_guard_build.md;cc_instruction_doc_recovery.md;cc_instruction_doc_sync_layer1.md;cc_instruction_foundation_stage3b.md;cc_instruction_j_key_iii_step3_land.md
DC-00008,15,not-a-decision,BR-14,,governing;open_items,heading;paragraph,OPEN_ITEMS.md;open_items/OI-176.md;open_items/OI-177.md;open_items/OI-23.md;open_items/OI-24.md
DC-00009,15,boilerplate,BR-1,,cc_reports,table_row,cc_stage2a_wip_triage_report.md
DC-00010,11,not-a-decision,BR-14,,governing;open_items,heading;paragraph,OPEN_ITEMS.md;open_items/OI-58.md;open_items/OI-61.md;open_items/OI-64.md;open_items/OI-65.md
DC-00011,11,boilerplate,BR-1,,cc_reports,heading,cc_instruction_adoption_measurement.md;cc_instruction_algorithm_completion.md;cc_instruction_direct_metric_weight_fit.md;cc_instruction_joint_fact_adapter.md;cc_instruction_joint_input_parity.md
DC-00012,11,boilerplate,BR-1,,cc_reports,heading,cc_instruction_anchor_redesign_investigation.md;cc_instruction_audit_cadencekeyanchor.md;cc_instruction_audit_chordanalyzer_oracle.md;cc_instruction_audit_harmonicfunctionlayer.md;cc_instruction_audit_jointkeydecision.md
DC-00013,11,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_l1_l2_audit_blind_rerun.md;cc_instruction_l3_audit_pass1.md;cc_instruction_l3_audit_pass2.md;cc_instruction_l4_audit_pass1.md;cc_instruction_l4_audit_pass1_decoder.md
DC-00014,10,boilerplate,BR-1,,cc_reports;docs,heading;paragraph,cc_j_key_iii_integration_dossier.md;docs/divergence_d_recon.md;docs/format_symbol_audit.md;docs/musescore_parser_special_notations_recon.md;docs/phase5_recon.md
DC-00015,10,not-a-decision,BR-10,,open_items,paragraph,open_items/OI-141.md;open_items/OI-142.md;open_items/OI-143.md;open_items/OI-144.md;open_items/OI-41.md
DC-00016,9,not-a-decision,BR-12,,cc_reports,heading;paragraph,cc_acquisition_round_report.md;cc_corpus_wave2_report.md;cc_corpus_wave3_report.md;cc_stage5_phase0_report.md;cc_stage5_phase1_report.md
DC-00017,9,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_backup_batch2.md;cc_instruction_backup_cowork_docs.md;cc_instruction_baseline_reconciliation.md;cc_instruction_layer3_tpc_keymeasure.md;cc_instruction_layer4_b_fairkey.md
DC-00018,7,boilerplate,BR-1,,cc_reports,bullet,cc_engage_joint_key_chord_design_report.md;cc_instruction_engage_fanout_measure.md;cc_instruction_engage_joint_key_chord_design.md;cc_instruction_engage_l5_carry_selection_design.md;cc_instruction_engage_l5_pedal_annotate_design.md
DC-00019,7,restates,BR-3,D-013,code_comments,block_comment,src/notation/tests/pipeline_snapshot_tests/pipeline_snapshot_tests.cpp
DC-00020,6,boilerplate,BR-1,,cc_reports,table_row,cc_gap_analysis_report.md
DC-00021,6,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_refactor1_split_build.md;cc_instruction_refactor_harmonicsegmenter_split.md;cc_instruction_refactor_keymodeanalyzer_split.md;cc_instruction_refactor_keyresolver_split.md;cc_instruction_refactor_regiontonecollector_split.md
DC-00022,5,unresolved,BR-8,,docs,paragraph,docs/phase4_recon.md
DC-00023,5,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_audit_chordanalyzer_oracle.md;cc_instruction_audit_harmonicfunctionlayer.md;cc_instruction_audit_keymodeanalyzer.md;cc_instruction_audit_localmodulationdetector.md;cc_instruction_phase2_architecture_support.md
DC-00024,5,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_key_mode_inference_diagnosis.md;cc_instruction_l3_audit_pass2_relabel.md;cc_instruction_l4_audit_pass2.md;cc_instruction_l5_audit_pass2.md;cc_instruction_mode_key_chord_inference_probe.md
DC-00025,5,restates,BR-3,D-013,code_comments,block_comment,src/notation/tests/pipeline_snapshot_tests/pipeline_snapshot_tests.cpp
DC-00026,4,boilerplate,BR-1,,cowork_docs,heading,cowork_layer4_chordsymbol_design.md;cowork_layer5_function_design.md;cowork_layer6_grouping_design.md;cowork_voiceleading_axis_design.md
DC-00027,4,boilerplate,BR-1,,cc_reports,heading;paragraph,cc_instruction_gate_r_verify_and_commit.md;cc_instruction_phase_e_rcb_bass_chord_tone_gate.md;cc_instruction_redesign_step2_predecessor_confidence.md;cc_instruction_stage4b_i_commit.md
DC-00028,4,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_layer3_error_decomposition.md;cc_instruction_layer3_sweep.md;cc_instruction_layer3_wiring.md;cc_instruction_layer3_wiring_code.md
DC-00029,4,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_push_bi_checkpoint.md;cc_instruction_push_doc_sync.md;cc_instruction_push_layer1_checkpoint.md;cc_instruction_push_layer2.md
DC-00030,4,boilerplate,BR-1,,cc_reports,table_row,cc_l1l3_delta_check_resync_report.md
DC-00031,3,boilerplate,BR-1,,cowork_docs,heading,cowork_layer1_note_model_design.md;cowork_layer2_slicing_design.md;cowork_layer3_keymode_design.md
DC-00032,3,boilerplate,BR-1,,cowork_docs,heading,cowork_layer4_chordsymbol_design.md;cowork_layer5_function_design.md;cowork_layer6_grouping_design.md
DC-00033,3,boilerplate,BR-1,,cowork_docs,heading,cowork_layer4_chordsymbol_design.md;cowork_layer5_function_design.md;cowork_layer6_grouping_design.md
DC-00034,3,not-a-decision,BR-9,,cc_reports;cowork_docs,paragraph,cc_instruction_wave3_addendum.md;cowork_voiceleading_axis_design.md
DC-00035,3,boilerplate,BR-1,,docs,heading,docs/stage4c_cadence_key_design.md;docs/stage4d_local_modulation_design.md;docs/stage6_functional_layer_design.md
DC-00036,3,not-a-decision,BR-9,,cc_reports;docs,paragraph,cc_instruction_housekeeping_e2d_pass2.md;docs/unified_analysis_pipeline.md
DC-00037,3,boilerplate,BR-1,,cc_reports,heading,cc_L6_corpus_oracle_report.md;cc_l1l4_review_report.md;cc_tpc_capability_verify_report.md
DC-00038,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_backfill_engravingbridge.md;cc_instruction_phase5_kmasks_complete.md;cc_instruction_phase5_kmasks_derive.md
DC-00039,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_backfill_formatter.md;cc_instruction_backfill_l3_keymode.md;cc_instruction_backfill_l4_oracle_gates.md
DC-00040,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_engage_c3_measurement.md;cc_instruction_engage_gateA_unification_design.md;cc_instruction_engage_information_loss_audit.md
DC-00041,3,boilerplate,BR-1,,cc_reports,heading,cc_instruction_baseline_reconciliation.md;cc_instruction_foundation_stage2a.md;cc_instruction_foundation_stage3a.md
DC-00042,3,restates,BR-3,D-119,cc_reports,bullet,cc_instruction_l3_audit_pass2.md;cc_instruction_l4_audit_pass2.md;cc_instruction_l5_audit_pass2.md
DC-00043,3,boilerplate,BR-1,,cc_reports,heading,cc_instruction_layer1_phase1a_build.md;cc_instruction_layer3_phase3_build.md;cc_instruction_spec_impl_delta_L1L4.md
DC-00044,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_phase5b_step2final_o2_inherit.md;cc_instruction_phase5b_step3_g6.md;cc_instruction_phase5b_step4_g4_spellingpin.md
DC-00045,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_design_pass_commit.md;cc_instruction_desk_sim_commit.md;cc_instruction_prefit_gates_commit.md
DC-00046,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_push_doc_sync.md;cc_instruction_push_layer1_checkpoint.md;cc_instruction_push_layer2.md
DC-00047,3,not-a-decision,BR-6,,cc_reports,bullet,cc_instruction_refactor_harmonicsegmenter_split.md;cc_instruction_refactor_keymodeanalyzer_split.md;cc_instruction_refactor_keyresolver_split.md
DC-00048,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_refactor_harmonicsegmenter_split.md;cc_instruction_refactor_keymodeanalyzer_split.md;cc_instruction_refactor_keyresolver_split.md
DC-00049,3,boilerplate,BR-1,,cc_reports,heading,cc_instruction_metric_build_l0l1.md;cc_instruction_stage2_4_ratification.md;cc_instruction_stage3_1b_approval.md
DC-00050,3,boilerplate,BR-1,,cc_reports,table_row,cc_j_key_i_report.md;cc_j_key_ii_redux_report.md;cc_j_key_ii_report.md
DC-00051,3,boilerplate,BR-1,,cc_reports,heading,cc_j_key_i_report.md;cc_j_key_ii_redux_report.md;cc_j_key_ii_report.md
DC-00052,3,boilerplate,BR-1,,cc_reports,heading,cc_layer3_decoder_audit_dossier.md;cc_layer3_wiring_design_dossier.md;cc_layer4_audit_dossier.md
DC-00053,3,boilerplate,BR-1,,cc_reports,heading,cc_phase5c_step2_report.md;cc_phase5c_step3_report.md;cc_phase5c_step4_report.md
DC-00054,3,boilerplate,BR-1,,cc_reports,heading,cc_stage5_phase1_report.md;cc_stage5_phase2_1_report.md;cc_stage5_phase2_2a_report.md
DC-00055,3,not-a-decision,BR-13,,code_comments,code_comment,src/notation/tests/notationinteraction_harmony_pinning_tests.cpp
DC-00056,2,not-a-decision,BR-2,,cc_reports;governing,heading,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00057,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00058,2,restates,BR-3,D-063,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00059,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00060,2,restates,BR-3,D-063,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00061,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00062,2,not-a-decision,BR-2,,cc_reports;governing,heading,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00063,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00064,2,restates,BR-3,D-064,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00065,2,restates,BR-3,D-065,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00066,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00067,2,restates,BR-3,D-097;D-183,governing,bullet,ARCHITECTURE.md;STATUS_ARCHIVE.md
DC-00068,2,restates,BR-3,D-073;D-119;D-170;D-190,cc_reports;governing,paragraph,CLAUDE.md;cc_instruction_notation_consumption_audit.md
DC-00069,2,restates,BR-3,D-115;D-119,cowork_docs;governing,bullet;paragraph,CLAUDE.md;cowork_gate_policy_amendment.md
DC-00070,2,restates,BR-3,D-008;D-021;D-095;D-119;D-190;D-276,cc_reports;governing,paragraph,STATUS_ARCHIVE.md;cc_instruction_notation_consumption_audit.md
DC-00071,2,boilerplate,BR-1,,cc_reports;governing,blockquote;paragraph,STATUS_ARCHIVE.md;cc_instruction_commit_idiom_work.md
DC-00072,2,unresolved,BR-8,,governing,table_row,STATUS_ARCHIVE.md
DC-00073,2,restates,BR-3,D-115;D-119,cc_reports;cowork_docs,bullet,cc_engage_c3_measurement_report.md;cowork_fb_redesign_design.md
DC-00074,2,not-a-decision,BR-2,,cc_reports;cowork_docs,heading,cc_instruction_engage_gateA_unification_design.md;cowork_gateA_unification_design.md
DC-00075,2,unresolved,BR-8,,cowork_docs,paragraph,cowork_layer1_note_model_design.md;cowork_layer2_slicing_design.md
DC-00076,2,restates,BR-3,D-051,cc_reports;cowork_docs,bullet,cc_instruction_backfill_l3_keymode.md;cowork_phase5_branch_backfill_spec.md
DC-00077,2,not-a-decision,BR-2,,cowork_docs,heading,cowork_phrase_boundary_design.md;cowork_progression_schema_design.md
DC-00078,2,unresolved,BR-8,,cc_reports;docs,bullet;heading,cc_stage3_2_design_report.md;docs/beam_widening_design.md
DC-00079,2,unresolved,BR-8,,docs,paragraph,docs/beam_widening_design.md;docs/decoder_design.md
DC-00080,2,not-a-decision,BR-2,,cc_reports;docs,heading,cc_instruction_revert_absent_root_guard.md;docs/nct_detection_design.md
DC-00081,2,not-a-decision,BR-9,,docs,paragraph,docs/symbol_input_audit.md
DC-00082,2,unresolved,BR-8,,cc_reports;open_items,paragraph,cc_instruction_decision_harvest.md;open_items/OI-228.md
DC-00083,2,not-a-decision,BR-2,,cc_reports,heading,cc_adoption_measurement_report.md;cc_gate_r_verify_report.md
DC-00084,2,restates,BR-3,D-119,cc_reports,table_row,cc_audit_jointkeydecision_report.md;cc_audit_keymodeanalyzer_report.md
DC-00085,2,not-a-decision,BR-2,,cc_reports,heading,cc_backfill_engravingbridge_report.md;cc_backfill_l4_oracle_report.md
DC-00086,2,boilerplate,BR-1,,cc_reports,heading,cc_cadence_precision_investigation_dossier.md;cc_stage6_tonic_i_report.md
DC-00087,2,restates,BR-3,D-119,cc_reports,table_row,cc_corpus_wave2_report.md
DC-00088,2,not-a-decision,BR-12,,cc_reports,bullet,cc_corpus_wave2_report.md;cc_corpus_wave3_report.md
DC-00089,2,boilerplate,BR-1,,cc_reports,heading,cc_doctruth_gate_sync_report.md;cc_layer2_phase2_report.md
DC-00090,2,boilerplate,BR-1,,cc_reports,heading,cc_engage_fb_redesign_design_report.md;cc_engage_l5_pedal_annotate_design_report.md
DC-00091,2,unresolved,BR-8,,cc_reports,bullet;paragraph,cc_engage_pre_l5_refactor_report.md;cc_instruction_engage_pre_l5_refactor_batch.md
DC-00092,2,no-spec-home,BR-4,D-115,cc_reports,bullet;table_row,cc_instruction_absent_root_guard.md
DC-00093,2,no-spec-home,BR-4,D-115,cc_reports,bullet;table_row,cc_instruction_absent_root_guard.md
DC-00094,2,restates,BR-3,D-119,cc_reports,bullet,cc_instruction_acquisition_round.md;cc_instruction_wave3_addendum.md
DC-00095,2,unresolved,BR-8,,cc_reports,bullet,cc_instruction_audit_harmonicfunctionlayer.md;cc_instruction_audit_keymodeanalyzer.md
DC-00096,2,no-spec-home,BR-4,D-115,cc_reports,paragraph,cc_instruction_b2_final.md;cc_instruction_b2_guardfix.md
DC-00097,2,not-a-decision,BR-11,,cc_reports,bullet,cc_instruction_backfill_formatter.md;cc_instruction_backfill_l3_keymode.md
DC-00098,2,restates,BR-3,D-062;D-192,cc_reports,paragraph,cc_instruction_commit_exploration_mode.md;cc_phase_e_exploration_mode_report.md
DC-00099,2,boilerplate,BR-1,,cc_reports,heading,cc_instruction_design_pass_commit.md;cc_instruction_desk_sim_commit.md
DC-00100,2,not-a-decision,BR-11,,cc_reports,paragraph,cc_instruction_e2b.md;cc_instruction_e2b_fixup.md
DC-00101,2,boilerplate,BR-1,,cc_reports,paragraph,cc_instruction_e2d_architecture_review.md;cc_instruction_e2d_v3c_investigate.md
DC-00102,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_engage_c3_measurement.md;cc_instruction_engage_information_loss_audit.md
DC-00103,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_engage_gateA_unification_build.md;cc_instruction_engage_u1_uncap.md
DC-00104,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_foundation_stage3a.md;cc_instruction_keyregression_diagnosis.md
DC-00105,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_gate_rebaseline_verify.md;cc_instruction_metric_rebaseline_batch.md
DC-00106,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_j_key_i.md;cc_instruction_j_key_ii.md
DC-00107,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_j_key_ii.md;cc_instruction_j_key_ii_redux.md
DC-00108,2,boilerplate,BR-1,,cc_reports,heading,cc_instruction_j_key_iii_step2_wiring.md;cc_instruction_layer4_audit.md
DC-00109,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_key_grading_rebaseline.md;cc_instruction_measurement_chain_hardening.md
DC-00110,2,not-a-decision,BR-11,,cc_reports,bullet,cc_instruction_l4_audit_pass1.md;cc_instruction_l4_audit_pass1_decoder.md
DC-00111,2,restates,BR-3,D-109;D-119,cc_reports,bullet,cc_instruction_l4_audit_pass1_decoder.md;cc_instruction_l4_audit_pass1_oracle.md
DC-00112,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_l4_audit_pass1_oracle.md;cc_instruction_l4_audit_pass1_satellites.md
DC-00113,2,restates,BR-3,D-100,cc_reports,bullet,cc_instruction_l4_audit_pass1_satellites.md;cc_instruction_l5_audit_pass1_resolver.md
DC-00114,2,restates,BR-3,D-119,cc_reports,bullet,cc_instruction_l4_audit_pass2.md;cc_instruction_l5_audit_pass2.md
DC-00115,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_l5_audit_pass1.md;cc_instruction_l5_audit_pass2.md
DC-00116,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_l5_audit_pass1_grading_fitting.md;cc_instruction_l5_audit_pass1_harness.md
DC-00117,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_layer3_incrementB_groundtruth.md;cc_layer3_incrementB_report.md
DC-00118,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_layer3_phase3_build.md;cc_instruction_tpc_capability_build.md
DC-00119,2,restates,BR-3,D-097;D-119;D-182;D-183,cc_reports,paragraph,cc_instruction_layer3_tpc_keymeasure.md;cc_layer3_tpc_keymeasure_report.md
DC-00120,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_layer3_wiring.md;cc_instruction_layer3_wiring_code.md
DC-00121,2,not-a-decision,BR-6,,cc_reports,paragraph,cc_instruction_oi168_fix.md;cc_instruction_oi170_measure.md
DC-00122,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_oi168_magnitude_measure.md;cc_instruction_oi170_measure.md
DC-00123,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_phase5b_step3_g6.md;cc_instruction_phase5b_step4_g4_spellingpin.md
DC-00124,2,not-a-decision,BR-11,,cc_reports,paragraph,cc_instruction_phase_d_merger.md;cc_instruction_phase_d_reanalysis.md
DC-00125,2,unresolved,BR-8,,cc_reports,bullet,cc_instruction_phase_d_merger.md;cc_instruction_phase_d_reanalysis.md
DC-00126,2,unresolved,BR-8,,cc_reports,bullet,cc_instruction_phase_d_merger.md;cc_instruction_phase_d_reanalysis.md
DC-00127,2,not-a-decision,BR-6,,cc_reports,paragraph,cc_instruction_phase_d_merger.md;cc_instruction_phase_d_reanalysis.md
DC-00128,2,not-a-decision,BR-5,,cc_reports,paragraph,cc_instruction_phase_e_commit_unification.md;cc_phase_e_commit_unification_report.md
DC-00129,2,not-a-decision,BR-5,,cc_reports,paragraph,cc_instruction_phase_e_commit_unification.md;cc_phase_e_commit_unification_report.md
DC-00130,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_push_doc_sync.md;cc_instruction_push_layer2.md
DC-00131,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_push_doc_sync.md;cc_instruction_push_layer2.md
DC-00132,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_push_layer3_incrementA.md;cc_instruction_push_layer3_incrementB.md
DC-00133,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_push_layer3_incrementA.md;cc_instruction_push_layer3_incrementB.md
DC-00134,2,unresolved,BR-8,,cc_reports,paragraph,cc_instruction_redesign_step1_free_wiring.md;cc_instruction_redesign_step2_predecessor_confidence.md
DC-00135,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_refactor1_split_build.md;cc_instruction_refactor_sectionanalyzer_split.md
DC-00136,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_refactor_harmonicsegmenter_split.md;cc_instruction_refactor_keyresolver_split.md
DC-00137,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_refactor_regiontonecollector_split.md;cc_instruction_refactor_sectionanalyzer_split.md
DC-00138,2,not-a-decision,BR-5,,cc_reports,paragraph,cc_instruction_stage1a_functionlayer_tests.md;cc_stage1a_report.md
DC-00139,2,restates,BR-3,D-119,cc_reports,paragraph,cc_instruction_stage1d_metric_script_tests.md;cc_stage1d_report.md
DC-00140,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_stage3_1b_revision.md;cc_instruction_stage3_3_gater_decision.md
DC-00141,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_stage4a_declared_mode_import_fix.md;cc_instruction_stage4b_i_demote_and_measure.md
DC-00142,2,not-a-decision,BR-11,,cc_reports,bullet,cc_instruction_stage4c_i_cadence_detector_measure.md;cc_instruction_stage4c_iii_refine_detection.md
DC-00143,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_stage5_phase1.md;cc_stage5_phase1_report.md
DC-00144,2,restates,BR-3,D-119,cc_reports,bullet,cc_instruction_stage5_phase2_1.md;cc_stage5_phase2_1_report.md
DC-00145,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_stage5_phase2_2b.md;cc_stage5_phase2_2b_report.md
DC-00146,2,unresolved,BR-8,,cc_reports,bullet;heading,cc_instruction_stage5_phase2_2b.md;cc_stage5_phase2_2b_report.md
DC-00147,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_stage5_r10b_ratification.md;cc_stage5_r10b_ratification_report.md
DC-00148,2,restates,BR-3,D-096,cc_reports,paragraph,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00149,2,restates,BR-3,D-001;D-112,cc_reports,paragraph,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00150,2,not-a-decision,BR-6,,cc_reports,paragraph,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00151,2,restates,BR-3,D-119,cc_reports,bullet,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00152,2,not-a-decision,BR-11,,cc_reports,bullet,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00153,2,not-a-decision,BR-6,,cc_reports,bullet,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00154,2,not-a-decision,BR-11,,cc_reports,paragraph,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00155,2,no-spec-home,BR-4,D-109,cc_reports,bullet,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00156,2,unresolved,BR-8,,cc_reports,bullet,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00157,2,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_term_grounding_inventory.md;cc_instruction_term_inventory.md
DC-00158,2,not-a-decision,BR-2,,cc_reports,heading,cc_instruction_types_header_investigation.md;cc_types_header_investigation_report.md
DC-00159,2,not-a-decision,BR-2,,cc_reports,heading,cc_instrument_hygiene_sweep_report.md;cc_wave1_finalize_report.md
DC-00160,2,not-a-decision,BR-2,,cc_reports,heading,cc_j_key_i_report.md;cc_j_key_ii_report.md
DC-00161,2,boilerplate,BR-1,,cc_reports,heading,cc_j_key_ii_redux_report.md;cc_j_key_ii_report.md
DC-00162,2,not-a-decision,BR-7,,cc_reports,table_row,cc_l3_audit_pass1_report.md;cc_l5_audit_pass1_resolver_report.md
DC-00163,2,not-a-decision,BR-7,,cc_reports,table_row,cc_l4_audit_pass1_decoder_report.md;cc_oi199_pass1_report.md
DC-00164,2,not-a-decision,BR-2,,cc_reports,heading,cc_l4_audit_pass2_report.md;cc_l5_audit_pass2_report.md
DC-00165,2,boilerplate,BR-1,,cc_reports,heading,cc_layer1_impl_report.md;cc_layer2_impl_report.md
DC-00166,2,boilerplate,BR-1,,cc_reports,bullet,cc_layer3_characterization_report.md;cc_layer3_error_decomposition_report.md
DC-00167,2,boilerplate,BR-1,,cc_reports,heading,cc_metric_build_report.md;cc_uncertain_resolver_measurement_report.md
DC-00168,2,boilerplate,BR-1,,cc_reports,heading,cc_modulation_keypath_scoping_dossier.md;cc_tonicization_modulation_metric_dossier.md
DC-00169,2,not-a-decision,BR-2,,cc_reports,heading,cc_note_table_fit_report.md;cc_secondary_dominant_refit_report.md
DC-00170,2,not-a-decision,BR-2,,cc_reports,heading,cc_phase5c_step5_report.md;cc_phase5c_step6_report.md
DC-00171,2,not-a-decision,BR-12,,cc_reports,bullet,cc_refactor1_split_build_report.md;cc_refactor_regiontonecollector_report.md
DC-00172,2,unresolved,BR-8,,cc_reports,paragraph,cc_stage3_2_design_report.md;cc_stage3_design_report.md
DC-00173,2,boilerplate,BR-1,,cc_reports,heading,cc_stage4c_i_report.md;cc_stage4c_iii_report.md
DC-00174,2,not-a-decision,BR-2,,cc_reports,heading,cc_stage4c_i_report.md;cc_stage4c_iii_report.md
DC-00175,2,not-a-decision,BR-2,,cc_reports,heading,cc_stage5_phase2_2d_report.md;cc_stage5_phase2_2e_report.md
DC-00176,2,boilerplate,BR-1,,cc_reports,heading,cc_stage5_r10_assembly_report.md;cc_stage5_r10b_ratification_report.md
DC-00177,2,boilerplate,BR-1,,cc_reports,heading,cc_test_backfill_report.md;cc_tree_repair_and_coverage_report.md
DC-00178,2,unresolved,BR-8,,code_comments,code_comment,src/composing/analysis/engravingbridge/regiontonecollector.h;src/notation/internal/notationanalysisinternal.h
DC-00179,2,restates,BR-3,D-119,code_comments,code_comment,src/composing/analysis/function/tonicizationlabeler.h;src/composing/analysis/section/cadencekeyanchor.h
DC-00180,2,restates,BR-3,D-119,cc_reports;code_comments,code_comment;paragraph,cc_stage2_1_report.md;src/composing/analysis/types/analysistypes.h
DC-00181,2,not-a-decision,BR-13,,code_comments,block_comment,src/composing/tests/engravingbridge_branch_tests.cpp
DC-00182,2,not-a-decision,BR-13,,code_comments,block_comment,src/composing/tests/note_model_tests.cpp
DC-00183,2,restates,BR-3,D-013,code_comments,code_comment,src/notation/internal/notationcomposingbridge.cpp;src/notation/internal/notationtuningbridge.cpp
DC-00184,2,unresolved,BR-8,,code_comments,code_comment,tools/audit/gen_blind_rerun_sample.py;tools/audit/gen_pass2_sample_l4.py
DC-00185,2,unresolved,BR-8,,code_comments,code_comment,tools/dcml/when_in_rome/Tests/test_mixture.py
DC-00186,2,restates,BR-3,D-119,cc_reports;code_comments,code_comment;heading,cc_label_table_fit_report.md;tools/joint_estimator/gen_label_tables.py
DC-00187,1,restates,BR-3,D-001;D-004;D-096,governing,blockquote,ARCHITECTURE.md
